Variable,F-statistic,p-value
Shots on Goal,17.288392115063118,4.362265598409763e-14
Yellow Cards,66.63054847457958,6.881613846603372e-55
Corner Kicks,0.2798857337890635,0.8911421748060996
Saves,11.330858119016984,3.767985821730714e-09
