game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
2423328,12.0,3.0,,Rudi Garcia,6195.0,2.0,,Rafael Benítez,Home,1
2423908,281.0,2.0,,Manuel Pellegrini,631.0,0.0,,José Mourinho,Home,1
2458586,11.0,3.0,,Arsène Wenger,281.0,0.0,,Manuel Pellegrini,Home,1
2460296,11.0,2.0,3.0,Arsène Wenger,873.0,1.0,14.0,Keith Millen,Home,1
2460684,18.0,1.0,3.0,Lucien Favre,39.0,1.0,6.0,Kasper Hjulmand,Home,0
2460707,27.0,2.0,1.0,Pep Guardiola,16.0,1.0,17.0,Jürgen Klopp,Home,1
2460716,16.0,1.0,15.0,Jürgen Klopp,18.0,0.0,3.0,Lucien Favre,Home,1
2460717,15.0,0.0,6.0,Roger Schmidt,39.0,0.0,8.0,Kasper Hjulmand,Home,0
2460719,167.0,3.0,7.0,Markus Weinzierl,127.0,0.0,9.0,André Breitenreiter,Home,1
2460728,39.0,2.0,9.0,Kasper Hjulmand,60.0,2.0,14.0,Christian Streich,Home,0
2460737,167.0,3.0,4.0,Markus Weinzierl,41.0,1.0,17.0,Josef Zinnbauer,Home,1
2460786,79.0,0.0,17.0,Huub Stevens,18.0,1.0,3.0,Lucien Favre,Home,0
2460805,3.0,0.0,11.0,Peter Stöger,127.0,0.0,15.0,André Breitenreiter,Home,0
2460815,33.0,1.0,4.0,Roberto Di Matteo,86.0,1.0,8.0,Viktor Skrypnyk,Home,0
2460817,39.0,3.0,11.0,Martin Schmidt,24.0,1.0,9.0,Thomas Schaaf,Home,1
2460832,24.0,2.0,8.0,Thomas Schaaf,41.0,1.0,15.0,Josef Zinnbauer,Home,1
2460855,60.0,2.0,15.0,Christian Streich,167.0,0.0,6.0,Markus Weinzierl,Home,1
2460858,3.0,1.0,12.0,Peter Stöger,86.0,1.0,9.0,Viktor Skrypnyk,Home,0
2460866,86.0,0.0,9.0,Viktor Skrypnyk,39.0,0.0,12.0,Martin Schmidt,Home,0
2460870,33.0,0.0,5.0,Roberto Di Matteo,60.0,0.0,14.0,Christian Streich,Home,0
2460874,79.0,3.0,17.0,Huub Stevens,86.0,2.0,9.0,Viktor Skrypnyk,Home,1
2460880,82.0,1.0,2.0,Dieter Hecking,33.0,1.0,5.0,Roberto Di Matteo,Home,0
2460884,86.0,1.0,7.0,Viktor Skrypnyk,41.0,0.0,18.0,Bruno Labbadia,Home,1
2460902,44.0,1.0,13.0,Pál Dárdai,18.0,2.0,3.0,Lucien Favre,Home,0
2460912,3.0,2.0,10.0,Peter Stöger,33.0,0.0,6.0,Roberto Di Matteo,Home,1
2473460,2239.0,3.0,,Mario Montorfano,4031.0,2.0,,Roberto Cappellacci,Home,1
2473462,1005.0,5.0,,Giacomo Chini,11337.0,0.0,,Stefano Petrini,Home,1
2475184,131.0,3.0,1.0,Luis Enrique,1531.0,0.0,19.0,Fran Escribá,Home,1
2475201,368.0,2.0,3.0,Unai Emery,3709.0,0.0,15.0,Cosmin Contra,Home,1
2475248,367.0,0.0,11.0,Paco Jémez,131.0,2.0,1.0,Luis Enrique,Home,0
2475255,1050.0,2.0,6.0,Marcelino,3302.0,0.0,15.0,Francisco Rodríguez,Home,1
2475387,16795.0,1.0,17.0,Abel Resino,1531.0,0.0,18.0,Fran Escribá,Home,1
2475478,367.0,0.0,10.0,Paco Jémez,418.0,2.0,2.0,Carlo Ancelotti,Home,0
2475483,3709.0,1.0,13.0,Pablo Franco,1050.0,1.0,6.0,Marcelino,Home,0
2475488,940.0,6.0,10.0,Eduardo Berizzo,367.0,1.0,11.0,Paco Jémez,Home,1
2478601,276.0,2.0,6.0,Andrea Mandorlini,458.0,1.0,13.0,Giuseppe Iachini,Home,1
2478605,6195.0,0.0,11.0,Rafael Benítez,862.0,1.0,10.0,Eugenio Corini,Home,0
2478611,252.0,1.0,10.0,Gian Piero Gasperini,398.0,0.0,12.0,Stefano Pioli,Home,1
2478612,5.0,0.0,4.0,Filippo Inzaghi,506.0,1.0,2.0,Massimiliano Allegri,Home,0
2478614,12.0,2.0,1.0,Rudi Garcia,1390.0,0.0,17.0,Zdenek Zeman,Home,1
2478619,749.0,2.0,18.0,Maurizio Sarri,5.0,2.0,7.0,Filippo Inzaghi,Home,0
2478627,1038.0,2.0,5.0,Siniša Mihajlović,862.0,1.0,16.0,Eugenio Corini,Home,1
2478642,398.0,3.0,8.0,Stefano Pioli,6574.0,2.0,19.0,Eusebio Di Francesco,Home,1
2478700,252.0,1.0,5.0,Gian Piero Gasperini,458.0,1.0,13.0,Giuseppe Iachini,Home,0
2478764,12.0,2.0,2.0,Rudi Garcia,398.0,2.0,3.0,Stefano Pioli,Home,0
2478778,276.0,1.0,14.0,Andrea Mandorlini,800.0,0.0,15.0,Stefano Colantuono,Home,1
2478786,46.0,0.0,10.0,Roberto Mancini,416.0,1.0,13.0,Gian Piero Ventura,Home,0
2478808,416.0,1.0,9.0,Gian Piero Ventura,1390.0,1.0,18.0,Gianfranco Zola,Home,0
2478822,1390.0,1.0,18.0,Gianfranco Zola,46.0,2.0,8.0,Roberto Mancini,Home,0
2478853,430.0,2.0,6.0,Vincenzo Montella,5.0,1.0,11.0,Filippo Inzaghi,Home,1
2478858,6195.0,1.0,5.0,Rafael Benítez,800.0,1.0,17.0,Edoardo Reja,Home,0
2478896,6574.0,1.0,12.0,Eusebio Di Francesco,416.0,1.0,7.0,Gian Piero Ventura,Home,0
2478933,130.0,2.0,20.0,Roberto Donadoni,6195.0,2.0,4.0,Rafael Benítez,Home,0
2478955,749.0,1.0,15.0,Maurizio Sarri,1038.0,1.0,7.0,Siniša Mihajlović,Home,0
2478960,46.0,4.0,8.0,Roberto Mancini,749.0,3.0,15.0,Maurizio Sarri,Home,1
2482117,826.0,0.0,18.0,Antoine Kombouaré,855.0,1.0,13.0,Jocelyn Gourvennec,Home,0
2482214,415.0,0.0,12.0,Alain Casanova,826.0,2.0,16.0,Antoine Kombouaré,Home,0
2482239,244.0,3.0,1.0,Marcelo Bielsa,40.0,1.0,5.0,Willy Sagnol,Home,1
2482243,995.0,0.0,4.0,Michel Der Zakarian,618.0,0.0,6.0,Christophe Galtier,Home,0
2482257,1082.0,1.0,12.0,René Girard,583.0,1.0,2.0,Laurent Blanc,Home,0
2482268,826.0,1.0,18.0,Antoine Kombouaré,1082.0,1.0,12.0,René Girard,Home,0
2482337,969.0,1.0,7.0,Rolland Courbis,1082.0,2.0,11.0,René Girard,Home,0
2482365,1158.0,2.0,17.0,Sylvain Ripoll,595.0,0.0,14.0,Ghislain Printant,Home,1
2482373,826.0,0.0,19.0,Antoine Kombouaré,273.0,1.0,10.0,Philippe Montanier,Home,0
2483425,1041.0,1.0,,Hubert Fournier,13499.0,2.0,,Daniel Isăilă,Home,0
2483445,681.0,1.0,,Jagoba Arrasate,16704.0,0.0,,Oleg Kononov,Home,1
2486531,31.0,2.0,9.0,Brendan Rodgers,984.0,1.0,14.0,Alan Irvine,Home,1
2486545,180.0,8.0,3.0,Ronald Koeman,289.0,0.0,17.0,Gustavo Poyet,Home,1
2486586,873.0,3.0,15.0,Neil Warnock,31.0,1.0,12.0,Brendan Rodgers,Home,1
2486669,11.0,3.0,5.0,Arsène Wenger,512.0,0.0,11.0,Mark Hughes,Home,1
2486684,762.0,1.0,11.0,John Carver,180.0,2.0,3.0,Ronald Koeman,Home,0
2486688,379.0,3.0,7.0,Sam Allardyce,3008.0,0.0,18.0,Steve Bruce,Home,1
2486810,631.0,1.0,1.0,José Mourinho,873.0,0.0,12.0,Alan Pardew,Home,1
2492351,1050.0,4.0,,Marcelino,429.0,0.0,,Christakis Christoforou,Home,1
2492432,368.0,2.0,,Unai Emery,234.0,0.0,,Fred Rutten,Home,1
2495311,12.0,1.0,,Rudi Garcia,27.0,7.0,,Pep Guardiola,Home,0
2495361,418.0,4.0,,Carlo Ancelotti,31614.0,0.0,,Georgi Dermendzhiev,Home,1
2495365,16.0,1.0,,Jürgen Klopp,58.0,1.0,,Besnik Hasi,Home,0
2495373,621.0,2.0,,Ernesto Valverde,713.0,0.0,,Aleksandr Ermakovich,Home,1
2518536,368.0,4.0,,Unai Emery,16795.0,0.0,,Joaquín Caparrós,Home,1
2527973,621.0,1.0,,Ernesto Valverde,1084.0,0.0,,Javi Gracia,Home,1
2528144,631.0,2.0,,José Mourinho,1027.0,4.0,,Phil Parkinson,Home,0
2531143,29.0,3.0,,Roberto Martínez,452.0,1.0,,Uli Forte,Home,1
2538960,6195.0,3.0,,Rafael Benítez,121.0,1.0,,Stanislav Cherchesov,Home,1
2547387,430.0,2.0,,Vincenzo Montella,338.0,0.0,,Sergiy Rebrov,Home,1
2551355,27.0,1.0,,Pep Guardiola,16.0,3.0,,Jürgen Klopp,Home,0
2577939,989.0,1.0,11.0,Eddie Howe,1003.0,1.0,3.0,Claudio Ranieri,Home,0
2577948,631.0,1.0,13.0,José Mourinho,873.0,2.0,2.0,Alan Pardew,Home,0
2577961,31.0,3.0,9.0,Brendan Rodgers,405.0,2.0,18.0,Tim Sherwood,Home,1
2577967,762.0,2.0,19.0,Steve McClaren,631.0,2.0,14.0,José Mourinho,Home,0
2578002,11.0,2.0,2.0,Arsène Wenger,29.0,1.0,11.0,Roberto Martínez,Home,1
2578031,1003.0,1.0,2.0,Claudio Ranieri,985.0,1.0,3.0,Louis van Gaal,Home,0
2578063,873.0,1.0,6.0,Alan Pardew,180.0,0.0,12.0,Ronald Koeman,Home,1
2578070,631.0,3.0,15.0,Steve Holland,289.0,1.0,19.0,Sam Allardyce,Home,1
2578079,762.0,1.0,17.0,Steve McClaren,405.0,1.0,20.0,Rémi Garde,Home,0
2578084,631.0,2.0,14.0,Guus Hiddink,984.0,2.0,13.0,Tony Pulis,Home,0
2578095,405.0,1.0,20.0,Rémi Garde,1003.0,1.0,2.0,Claudio Ranieri,Home,0
2578190,631.0,2.0,10.0,Guus Hiddink,379.0,2.0,4.0,Slaven Bilic,Home,0
2578197,11.0,4.0,3.0,Arsène Wenger,1010.0,0.0,14.0,Quique Sánchez Flores,Home,1
