Journée,Position,Équipe,Points
11,5,Olympique Lyonnais,18
11,6,OGC Nice,17
11,7,Stade de Reims,17
11,8,RC Lens,17
11,9,AJ Auxerre,16
11,10,Toulouse FC,15
11,11,RC Strasbourg Alsace,13
11,12,Stade Brestois 29,13
11,13,Stade Rennais FC,11
11,14,FC Nantes,10
11,15,Angers SCO,10
11,16,AS Saint-Étienne,10
11,17,Le Havre AC,9
11,18,Montpellier Hérault SC,7
12,1,Paris Saint-Germain,32
12,2,AS Monaco,26
12,3,Olympique de Marseille,23
12,4,LOSC Lille,22
12,5,OGC Nice,20
12,6,Olympique Lyonnais,19
12,7,AJ Auxerre,19
12,8,Stade de Reims,18
12,9,RC Lens,17
12,10,Toulouse FC,15
12,11,RC Strasbourg Alsace,13
12,12,Stade Brestois 29,13
12,13,AS Saint-Étienne,13
12,14,Le Havre AC,12
12,15,Stade Rennais FC,11
12,16,FC Nantes,10
12,17,Angers SCO,10
12,18,Montpellier Hérault SC,7
13,1,Paris Saint-Germain,33
13,2,Olympique de Marseille,26
13,3,AS Monaco,26
13,4,LOSC Lille,23
13,5,Olympique Lyonnais,22
13,6,OGC Nice,20
13,7,RC Lens,20
13,8,AJ Auxerre,19
13,9,Stade de Reims,18
13,10,Toulouse FC,18
13,11,Stade Brestois 29,16
13,12,Stade Rennais FC,14
13,13,RC Strasbourg Alsace,13
13,14,Angers SCO,13
13,15,AS Saint-Étienne,13
13,16,Le Havre AC,12
13,17,FC Nantes,11
13,18,Montpellier Hérault SC,8
14,1,Paris Saint-Germain,34
14,2,Olympique de Marseille,29
14,3,AS Monaco,29
14,4,LOSC Lille,26
14,5,Olympique Lyonnais,25
14,6,OGC Nice,23
14,7,RC Lens,23
14,8,AJ Auxerre,20
14,9,Stade de Reims,19
14,10,Toulouse FC,18
14,11,Stade Brestois 29,16
14,12,Stade Rennais FC,14
14,13,FC Nantes,14
14,14,RC Strasbourg Alsace,14
14,15,Angers SCO,13
14,16,AS Saint-Étienne,13
14,17,Le Havre AC,12
14,18,Montpellier Hérault SC,8
15,1,Paris Saint-Germain,37
15,2,Olympique de Marseille,30
15,3,AS Monaco,30
15,4,LOSC Lille,27
15,5,Olympique Lyonnais,25
15,6,OGC Nice,24
15,7,RC Lens,24
15,8,AJ Auxerre,21
15,9,Toulouse FC,21
15,10,Stade de Reims,20
15,11,Stade Brestois 29,19
15,12,Stade Rennais FC,17
15,13,RC Strasbourg Alsace,17
15,14,FC Nantes,14
15,15,Angers SCO,13
15,16,AS Saint-Étienne,13
15,17,Le Havre AC,12
15,18,Montpellier Hérault SC,9
16,1,Paris Saint-Germain,40
16,2,Olympique de Marseille,33
16,3,AS Monaco,30
16,4,LOSC Lille,28
16,5,Olympique Lyonnais,28
16,6,OGC Nice,27
16,7,RC Lens,24
16,8,Toulouse FC,24
16,9,AJ Auxerre,21
16,10,RC Strasbourg Alsace,20
16,11,Stade de Reims,20
16,12,Stade Brestois 29,19
16,13,Stade Rennais FC,17
16,14,Angers SCO,16
16,15,AS Saint-Étienne,16
16,16,FC Nantes,15
16,17,Le Havre AC,12
16,18,Montpellier Hérault SC,9
17,1,Paris Saint-Germain,43
17,2,Olympique de Marseille,36
17,3,AS Monaco,31
17,4,OGC Nice,30
17,5,LOSC Lille,29
17,6,Olympique Lyonnais,28
17,7,RC Lens,27
17,8,Toulouse FC,24
17,9,RC Strasbourg Alsace,23
17,10,AJ Auxerre,22
17,11,Stade Brestois 29,22
17,12,Stade de Reims,20
17,13,Angers SCO,19
17,14,Stade Rennais FC,17
17,15,FC Nantes,16
17,16,AS Saint-Étienne,16
17,17,Le Havre AC,12
17,18,Montpellier Hérault SC,9
18,1,Paris Saint-Germain,46
18,2,Olympique de Marseille,37
18,3,LOSC Lille,32
18,4,AS Monaco,31
18,5,OGC Nice,30
18,6,Olympique Lyonnais,29
18,7,RC Lens,27
18,8,Toulouse FC,25
18,9,Stade Brestois 29,25
18,10,RC Strasbourg Alsace,24
18,11,AJ Auxerre,22
18,12,Angers SCO,22
18,13,Stade de Reims,21
18,14,Stade Rennais FC,17
18,15,FC Nantes,17
18,16,AS Saint-Étienne,17
18,17,Le Havre AC,13
18,18,Montpellier Hérault SC,12
19,1,Paris Saint-Germain,47
19,2,Olympique de Marseille,37
19,3,AS Monaco,34
19,4,OGC Nice,33
19,5,LOSC Lille,32
19,6,Olympique Lyonnais,30
19,7,RC Lens,30
19,8,Stade Brestois 29,28
19,9,RC Strasbourg Alsace,27
19,10,Toulouse FC,25
19,11,AJ Auxerre,23
19,12,Stade de Reims,22
19,13,Angers SCO,22
19,14,FC Nantes,18
19,15,AS Saint-Étienne,18
19,16,Stade Rennais FC,17
19,17,Montpellier Hérault SC,15
19,18,Le Havre AC,13
20,1,Paris Saint-Germain,50
20,2,Olympique de Marseille,37
20,3,AS Monaco,37
20,4,LOSC Lille,35
20,5,OGC Nice,33
20,6,RC Lens,33
20,7,Olympique Lyonnais,30
20,8,Stade Brestois 29,28
20,9,RC Strasbourg Alsace,27
20,10,Toulouse FC,25
20,11,AJ Auxerre,23
20,12,Stade de Reims,22
20,13,Angers SCO,22
20,14,FC Nantes,18
20,15,AS Saint-Étienne,18
20,16,Stade Rennais FC,17
20,17,Montpellier Hérault SC,15
20,18,Le Havre AC,13
